"t","c"
"2010-11-18 00:00:00","1007928"
"2010-11-19 00:00:00","1066732"
"2010-11-20 00:00:00","1063370"
"2010-11-21 00:00:00","911390"
"2010-11-22 00:00:00","852768"
"2010-11-23 00:00:00","918068"
"2010-11-24 00:00:00","920112"
"2010-11-25 00:00:00","643634"
"2010-11-26 00:00:00","702152"
"2010-11-27 00:00:00","839754"
"2010-11-28 00:00:00","778080"
"2010-11-29 00:00:00","838164"
"2010-11-30 00:00:00","895018"
"2010-12-01 00:00:00","975520"
"2010-12-02 00:00:00","1014742"
"2010-12-03 00:00:00","1070398"
"2010-12-04 00:00:00","1088942"
"2010-12-05 00:00:00","953228"
"2010-12-06 00:00:00","937960"
"2010-12-07 00:00:00","993726"
"2010-12-08 00:00:00","1018732"
"2010-12-09 00:00:00","1060196"
"2010-12-10 00:00:00","1081832"
"2010-12-11 00:00:00","1063508"
"2010-12-12 00:00:00","925940"
"2010-12-13 00:00:00","938824"
"2010-12-14 00:00:00","1017426"
"2010-12-15 00:00:00","1045374"
"2010-12-16 00:00:00","1062152"
"2010-12-17 00:00:00","1099394"
"2010-12-18 00:00:00","1072146"
"2010-12-19 00:00:00","951018"
"2010-12-20 00:00:00","928374"
"2010-12-21 00:00:00","975624"
"2010-12-22 00:00:00","970246"
"2010-12-23 00:00:00","919742"
"2010-12-24 00:00:00","722592"
"2010-12-25 00:00:00","452102"
"2010-12-26 00:00:00","387058"
"2010-12-27 00:00:00","144050"
"2010-12-28 00:00:00","495092"
"2010-12-29 00:00:00","665430"
"2010-12-30 00:00:00","745804"
"2010-12-31 00:00:00","861454"
"2011-01-01 00:00:00","366060"
"2011-01-02 00:00:00","317412"
"2011-01-03 00:00:00","749854"
"2011-01-04 00:00:00","814024"
"2011-01-05 00:00:00","878140"
"2011-01-06 00:00:00","952780"
"2011-01-07 00:00:00","973976"
"2011-01-08 00:00:00","1000544"
"2011-01-09 00:00:00","902234"
"2011-01-10 00:00:00","899892"
"2011-01-11 00:00:00","943622"
"2011-01-12 00:00:00","722254"
"2011-01-13 00:00:00","977130"
"2011-01-14 00:00:00","1025736"
"2011-01-15 00:00:00","971006"
"2011-01-16 00:00:00","893398"
"2011-01-17 00:00:00","772782"
"2011-01-18 00:00:00","884434"
"2011-01-19 00:00:00","954470"
"2011-01-20 00:00:00","1003928"
"2011-01-21 00:00:00","1009178"
"2011-01-22 00:00:00","1082750"
"2011-01-23 00:00:00","938968"
"2011-01-24 00:00:00","886130"
